Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Scott Robinson,Josephland,Frontend Developer,Ruby,Cisco CCNA,51,21,104,5,2802
Tyler Norton,Ramosland,DevOps Engineer,Swift,PMI-ACP,42,9,9,10,3681
Mitchell Nunez,Sandersmouth,Mobile Developer,Ruby,Certified Scrum Master,39,9,8,1,1708
Jerry Wells,North Jennifer,Frontend Developer,Python,Certified Scrum Master,23,0,23,6,3796
Courtney Dalton,Colleenborough,Mobile Developer,Go,Cisco CCNA,42,20,137,10,4292
Jessica Sanchez,North Jessicahaven,Data Scientist,Java,PMI-ACP,35,11,56,9,5429
Daniel Richardson,Duarteshire,AI/ML Engineer,TypeScript,AWS Certified Solutions Architect,24,2,75,4,7356
Richard Johnson,Rosemouth,Mobile Developer,C#,AWS Certified Developer,51,3,49,7,5031
David Kelly,Tiffanyburgh,Cloud Architect,TypeScript,Certified Scrum Master,57,30,118,3,3734
John Smith,Bauerberg,Backend Developer,Swift,AWS Certified Solutions Architect,42,17,132,6,1095
Deborah Moyer,North Michael,Cybersecurity Specialist,Swift,AWS Certified Solutions Architect,44,10,99,9,4827
Jeanette Jones,West Alyssa,Cybersecurity Specialist,PHP,Google Cloud Engineer,25,0,42,2,5413
John Newton II,West Kevinborough,Cloud Architect,Java,Oracle Certified Professional,49,27,5,9,4453
Amber Foster,Fernandezchester,Cloud Architect,TypeScript,AWS Certified Developer,53,32,13,10,6562
Angelica Roberts,South Rayview,Cybersecurity Specialist,Python,Certified Scrum Master,57,6,130,0,6027
Adam James,South Ann,AI/ML Engineer,Go,AWS Certified Developer,51,17,66,9,1765
Laura Barron,West Calebshire,Frontend Developer,JavaScript,Oracle Certified Professional,29,2,100,5,1617
Daniel Schroeder,North Josephshire,Frontend Developer,Kotlin,Cisco CCNA,48,25,25,4,3989
Randy Marks MD,Laurafurt,AI/ML Engineer,C#,CompTIA Security+,38,3,119,6,3128
Jessica Nelson,Lake William,AI/ML Engineer,Python,Certified Scrum Master,30,10,109,7,3673
Kayla Mitchell,Davidton,DevOps Engineer,Go,AWS Certified Developer,56,30,83,4,7345
Candace Davidson,Brockfurt,AI/ML Engineer,JavaScript,PMI-ACP,25,4,82,5,7202
Christine Barrett,East Ericstad,Database Administrator,Java,Certified Ethical Hacker,50,10,73,4,2737
Megan Franco,Tylerchester,DevOps Engineer,C#,AWS Certified Solutions Architect,45,18,128,5,7648
Angela Evans,Marieborough,Data Scientist,C#,CompTIA Security+,36,1,39,9,5245
Ryan Lawrence,Port Mary,DevOps Engineer,PHP,CompTIA Security+,33,4,33,7,1907
Jessica Riley,Jamesstad,AI/ML Engineer,PHP,Oracle Certified Professional,51,18,31,5,4161
Anthony Brown,Smithport,Cloud Architect,Kotlin,Certified Ethical Hacker,31,1,146,4,7963
Samantha Harvey,Lake Phillip,QA Tester,Ruby,Certified Scrum Master,23,3,33,6,4208
Chad Yoder,Lake Cristinaville,Frontend Developer,Swift,AWS Certified Developer,35,2,102,9,1778
Mark Patel,Lake Victortown,Cloud Architect,Go,PMI-ACP,38,2,34,7,6929
Sara Johnson,Turnerburgh,Backend Developer,Python,Oracle Certified Professional,50,21,79,6,1160
Manuel Soto,Davidbury,Data Scientist,PHP,Certified Ethical Hacker,48,12,27,2,5900
Susan Freeman,Lake Kaylee,QA Tester,C#,Google Cloud Engineer,34,9,83,0,4875
Anthony Wall,Port Stephanie,Database Administrator,Java,Google Cloud Engineer,46,16,72,2,1244
Reginald Carlson,Port Amanda,Backend Developer,PHP,PMI-ACP,47,7,113,8,5018
Jeff Watson,Lake Shawn,Data Scientist,Swift,Google Cloud Engineer,42,10,102,9,7619
Tammy Bryan,Leonardberg,Database Administrator,PHP,Certified Scrum Master,23,2,148,10,4373
Dana Dudley,Frazierhaven,Data Scientist,Go,PMI-ACP,29,3,128,8,3460
Debra Mendez,Amyfort,Data Scientist,PHP,AWS Certified Solutions Architect,31,8,52,4,1471
Tara Santana,South Betty,AI/ML Engineer,JavaScript,Cisco CCNA,30,0,62,10,6055
Kaitlyn Douglas,New Brittney,Backend Developer,TypeScript,PMI-ACP,46,17,68,3,4466
Edgar Harrison,Lake Lisamouth,Backend Developer,Kotlin,Google Cloud Engineer,25,4,131,6,2122
Christopher Oneal,South Adam,Database Administrator,C#,Microsoft Azure Fundamentals,45,6,141,0,7543
Gregory Morrison,Thomasberg,Mobile Developer,JavaScript,AWS Certified Solutions Architect,46,26,77,9,867
Billy Osborne,North Stephen,QA Tester,TypeScript,Certified Ethical Hacker,35,8,71,2,3677
Susan Rowe,North Sara,Mobile Developer,Go,Google Cloud Engineer,45,0,78,3,3781
Jerry Keller,Williamsburgh,DevOps Engineer,JavaScript,AWS Certified Developer,45,24,89,0,5161
Benjamin Hayes,Lake Alexandra,Database Administrator,Java,Certified Ethical Hacker,35,9,145,10,7717
Andrew Pierce,Port Danielle,Frontend Developer,Java,CompTIA Security+,57,7,76,6,2590
Amy Fitzgerald,South Cherylfort,Database Administrator,Python,AWS Certified Solutions Architect,42,6,30,6,5335
Robin Freeman,Drakeberg,Database Administrator,Java,Certified Scrum Master,31,6,100,3,2206
Jonathan Meyer,South Jonathan,Frontend Developer,Python,PMI-ACP,49,8,52,0,3376
Brian Robinson,Marquezville,Data Scientist,Ruby,Microsoft Azure Fundamentals,48,5,125,8,2904
Steven Ross,Obrienmouth,DevOps Engineer,PHP,PMI-ACP,28,5,75,7,3381
Lawrence Taylor,New Melissafurt,AI/ML Engineer,PHP,CompTIA Security+,48,5,126,10,7634
Karen Wilson,Alishamouth,QA Tester,PHP,Certified Scrum Master,41,1,135,3,7067
Kevin Brown,Lake Misty,Data Scientist,Kotlin,Certified Ethical Hacker,32,2,38,8,3474
Jacqueline Green,Bryanside,Data Scientist,JavaScript,Oracle Certified Professional,40,19,38,9,3479
Gene King,Freemanfort,Data Scientist,Python,Oracle Certified Professional,46,10,24,4,2701
Daniel Howe,Mitchellhaven,AI/ML Engineer,Ruby,AWS Certified Solutions Architect,53,23,144,9,4243
Jennifer Oconnor,Spencerfort,Cloud Architect,TypeScript,Certified Scrum Master,44,12,105,7,2215
Lawrence Carter,Padillabury,AI/ML Engineer,Python,Certified Ethical Hacker,37,4,95,7,2568
Cynthia Rodriguez,Amyfort,QA Tester,C#,Cisco CCNA,45,10,119,2,4040
Danielle Kirby,West Nathaniel,Cybersecurity Specialist,Kotlin,AWS Certified Developer,39,13,105,1,1535
Brendan Johnson PhD,Karenton,Cybersecurity Specialist,Swift,AWS Certified Developer,59,39,36,10,1133
Kevin Medina,Leonmouth,Backend Developer,Java,PMI-ACP,33,9,95,0,6316
Kevin Ellis,Johnborough,Backend Developer,JavaScript,Certified Scrum Master,55,16,129,8,3018
Anita Edwards,Harpertown,Frontend Developer,Python,Certified Scrum Master,48,3,112,10,1510
Kerry Dunn,Rhodestown,Mobile Developer,PHP,Certified Scrum Master,56,18,96,6,5581
Hayden Pace,Daniellemouth,Cloud Architect,Swift,Oracle Certified Professional,37,12,74,10,4525
Christy Hughes,Melendezland,Mobile Developer,Kotlin,Certified Scrum Master,36,1,6,7,6932
Mary Davis,Donnaborough,DevOps Engineer,PHP,Microsoft Azure Fundamentals,40,5,11,10,7336
Patrick Wilkinson,Andrewsside,Database Administrator,JavaScript,Cisco CCNA,37,9,16,9,1313
Sarah Robinson,Reedview,AI/ML Engineer,Python,Cisco CCNA,58,12,133,1,2470
Lawrence Davis,Harrisview,Data Scientist,C#,CompTIA Security+,52,16,2,3,1014
Alexandria Ruiz,South Patrick,Cloud Architect,Java,Certified Scrum Master,43,21,145,10,4560
Joy Bridges,East Julia,Database Administrator,C#,PMI-ACP,41,4,123,4,2844
Bryan Anderson,Pereztown,Cloud Architect,C#,Certified Ethical Hacker,24,1,19,3,2575
Robert Castro,Lake Sean,QA Tester,Ruby,Oracle Certified Professional,56,7,88,3,2516
Erin Carr,Tylerhaven,Cybersecurity Specialist,JavaScript,AWS Certified Developer,48,13,111,2,6633
Lauren Ford,East Cody,Backend Developer,TypeScript,AWS Certified Developer,39,9,85,0,7483
Carolyn Powell,Port Colleenmouth,QA Tester,Go,PMI-ACP,47,25,3,2,5270
Michael Davis,Dylanmouth,Cybersecurity Specialist,Kotlin,PMI-ACP,31,4,41,1,3080
Renee Phelps,East Christopherville,QA Tester,TypeScript,AWS Certified Developer,46,25,83,10,4325
Stephen Clay,North Darrell,Cloud Architect,TypeScript,Cisco CCNA,49,29,144,8,3758
Christopher Anderson,Michaelport,Database Administrator,Python,Certified Scrum Master,23,2,57,3,2799
Brittany Hunt,Parkerfurt,Mobile Developer,JavaScript,AWS Certified Developer,30,1,58,0,5706
James Johnson,North Frank,Backend Developer,TypeScript,Cisco CCNA,26,6,34,4,6528
Paul Carpenter,West Alexandra,Cybersecurity Specialist,Kotlin,Cisco CCNA,57,18,45,8,5761
Robert Nguyen,East Paulside,Data Scientist,Kotlin,AWS Certified Solutions Architect,54,13,123,3,3216
Adrienne Hayes,Port Jennifertown,QA Tester,Swift,Cisco CCNA,27,0,115,7,4432
Jeffrey Alvarado,East Eric,AI/ML Engineer,Swift,Oracle Certified Professional,55,28,109,8,7000
Thomas Miller,North Wendyfurt,QA Tester,TypeScript,Microsoft Azure Fundamentals,49,4,142,6,4290
John Berger,Port Davidborough,Cloud Architect,Kotlin,Oracle Certified Professional,58,27,39,4,5253
Candice Hernandez,Laurafurt,Cybersecurity Specialist,Java,Cisco CCNA,54,31,113,7,5271
Martha Gutierrez,New Sabrinaton,Backend Developer,C#,Certified Scrum Master,29,3,54,1,2968
Alan Woodward,East Jonathanton,Mobile Developer,Python,Oracle Certified Professional,31,6,9,5,7504
Kevin Warner,Wilsonchester,AI/ML Engineer,Go,Oracle Certified Professional,50,1,14,7,2825
Gabriel Johnson,Lake Kevin,Database Administrator,PHP,Certified Scrum Master,26,0,19,4,4750
Sandy Barker,West Mitchell,Database Administrator,Go,CompTIA Security+,58,36,68,3,4894
Melissa Sullivan,Kathleenhaven,Database Administrator,C#,Google Cloud Engineer,42,13,115,4,1969
Ashley Campbell,New Samantha,Cybersecurity Specialist,Go,AWS Certified Developer,38,13,123,5,7408
Diana Hunt,West Hectorland,Cloud Architect,TypeScript,AWS Certified Solutions Architect,31,4,94,1,7877
Stephen Petersen,Port Michael,Frontend Developer,Java,Google Cloud Engineer,53,0,27,8,5502
Joseph Chang,Keithburgh,Mobile Developer,C#,Oracle Certified Professional,55,19,100,9,6910
Deborah Cardenas,Terrenceborough,Cybersecurity Specialist,Python,Certified Scrum Master,32,0,91,6,4961
Robert Morales,Burkeborough,Cybersecurity Specialist,Python,Cisco CCNA,31,8,17,9,3496
Shelley Duffy,Gonzalezberg,DevOps Engineer,JavaScript,Certified Ethical Hacker,41,6,55,8,5604
Nancy Walker,East James,Frontend Developer,Java,AWS Certified Developer,42,17,137,3,3617
Aaron Cline,Lake Jasonfort,QA Tester,JavaScript,Oracle Certified Professional,29,9,19,7,3751
Timothy Contreras,South Travis,Frontend Developer,Python,CompTIA Security+,31,0,93,0,3341
Jason Edwards,Port Hannahville,Data Scientist,JavaScript,Oracle Certified Professional,53,2,130,1,6844
Jason Reid,Lake Kimberlymouth,Cybersecurity Specialist,Java,PMI-ACP,29,5,11,9,3871
Mark Thomas,West Sara,Cybersecurity Specialist,PHP,Microsoft Azure Fundamentals,52,6,13,0,1145
Robert Fletcher,Port Melissa,AI/ML Engineer,Python,Cisco CCNA,60,27,82,3,3746
Edward Warren,Port Johnbury,Frontend Developer,Java,Oracle Certified Professional,56,17,29,1,3036
Tommy Gomez,Briantown,Frontend Developer,Java,Microsoft Azure Fundamentals,58,4,47,0,5421
Brooke Gray,Mosesmouth,Frontend Developer,Go,CompTIA Security+,36,14,1,7,1334
Michele Franklin,Kimberlyview,DevOps Engineer,Swift,Microsoft Azure Fundamentals,43,4,135,5,7193
Mr. James Cobb,Lake Joymouth,Frontend Developer,Java,AWS Certified Developer,60,0,122,8,5343
Michael Mata,Lawrenceburgh,Data Scientist,PHP,Certified Ethical Hacker,45,15,128,5,2017
Pamela Mason,Georgehaven,Cybersecurity Specialist,Go,CompTIA Security+,40,6,51,7,1529
Nancy Watson,Bowmanport,Cloud Architect,PHP,AWS Certified Solutions Architect,41,1,64,6,5695
Susan Martin,New Donna,Backend Developer,Ruby,Google Cloud Engineer,49,19,13,2,5957
Kimberly Gibson,Ballville,QA Tester,JavaScript,CompTIA Security+,22,1,1,0,3038
Tracy Potts,Bryantport,Database Administrator,C#,Certified Ethical Hacker,37,0,145,7,3090
Dalton Duran,South Jasonstad,AI/ML Engineer,JavaScript,Oracle Certified Professional,26,3,48,2,6003
Gene Steele,Michaelberg,DevOps Engineer,JavaScript,AWS Certified Solutions Architect,60,22,59,2,1619
Adam Robinson,North Bryan,Cybersecurity Specialist,C#,Cisco CCNA,54,19,117,6,4711
Michael Bauer,Port Destinystad,Cybersecurity Specialist,C#,AWS Certified Developer,51,30,96,6,1381
Mark Pace,New Robin,AI/ML Engineer,Python,Certified Ethical Hacker,58,0,42,5,3691
Gary Johnson,Jodihaven,Database Administrator,Ruby,Google Cloud Engineer,22,1,43,10,7521
Frank Cochran,Lopeztown,Mobile Developer,Ruby,AWS Certified Developer,57,20,111,5,4177
Amanda Spencer,Smithhaven,Database Administrator,Python,PMI-ACP,41,7,54,8,3839
Julia Wade,West Joshua,AI/ML Engineer,Go,CompTIA Security+,27,3,10,4,2319
Lisa Cantrell,Tuckerland,Backend Developer,C#,AWS Certified Solutions Architect,42,1,112,1,7737
Bernard Gill,Lake Michael,Cloud Architect,TypeScript,AWS Certified Developer,46,23,7,4,6480
Margaret Rangel,New Christinafurt,QA Tester,Swift,Google Cloud Engineer,33,10,113,3,7193
Nicole Henson,Janetport,Backend Developer,PHP,Oracle Certified Professional,50,25,94,2,4862
Joseph Newton,Christophertown,Backend Developer,Java,CompTIA Security+,33,6,137,0,3479
Susan Taylor,Port Michael,QA Tester,Swift,Google Cloud Engineer,60,37,36,9,3516
Phyllis Contreras,Scottmouth,Mobile Developer,Kotlin,CompTIA Security+,48,1,106,7,4384
Raymond Mathews,North Antonio,Mobile Developer,C#,AWS Certified Solutions Architect,47,14,22,10,3644
Laura Anderson,Rodriguezport,Mobile Developer,Swift,PMI-ACP,22,1,68,8,831
John Esparza,New Natalie,Data Scientist,Java,Google Cloud Engineer,30,4,9,5,5585
Brianna Warren,East Anna,Frontend Developer,Ruby,CompTIA Security+,46,14,27,8,1698
Tyler Thornton,Whiteville,DevOps Engineer,Go,Certified Scrum Master,22,1,91,10,1957
Megan Alexander,South Chadburgh,DevOps Engineer,TypeScript,Certified Scrum Master,27,4,30,1,4630
Vicki Hamilton,Kelleyport,QA Tester,PHP,Oracle Certified Professional,48,12,34,4,3332
Andrea Kelly,Martinland,Database Administrator,Swift,Certified Ethical Hacker,42,3,29,7,4952
Michael Morrow,Andrewville,Cybersecurity Specialist,Ruby,Certified Scrum Master,38,12,6,10,1959
Christopher Estrada,Michellehaven,Data Scientist,Go,Certified Ethical Hacker,51,19,115,8,6454
Alyssa Hicks,Jessicaton,Frontend Developer,C#,Certified Ethical Hacker,45,11,140,5,1867
Elizabeth Daniels,Murphystad,Cybersecurity Specialist,TypeScript,Cisco CCNA,41,3,135,1,5600
Michael Vincent,South Margaret,Cloud Architect,Swift,PMI-ACP,57,22,90,7,5814
Robert Brooks,Ramirezburgh,Backend Developer,JavaScript,Oracle Certified Professional,32,3,98,7,7008
Terry Leonard,Port Alexis,QA Tester,Java,Oracle Certified Professional,55,34,9,4,6190
Michelle Fitzpatrick,North Gina,Data Scientist,TypeScript,Microsoft Azure Fundamentals,35,10,51,2,1989
Mark Williams,Alexandertown,Backend Developer,PHP,AWS Certified Solutions Architect,26,2,107,5,1662
Stacey Sparks,Morganstad,Cybersecurity Specialist,Go,PMI-ACP,35,7,102,9,4389
Andrew Nguyen,East Victoriashire,Mobile Developer,PHP,PMI-ACP,60,10,99,4,2226
Thomas Wolfe,New Anna,Frontend Developer,Kotlin,Certified Scrum Master,48,13,97,1,6891
Christopher Hill,Christinamouth,Database Administrator,C#,Microsoft Azure Fundamentals,55,21,40,4,828
Brandi Bennett,North Linda,Backend Developer,JavaScript,AWS Certified Solutions Architect,53,22,12,2,4344
Logan Richardson,Timothyview,Cloud Architect,Kotlin,Google Cloud Engineer,47,10,131,8,4222
Richard Peterson,Catherineport,AI/ML Engineer,Swift,Microsoft Azure Fundamentals,32,8,113,5,7590
Margaret Vega,Emilystad,Cybersecurity Specialist,Go,Google Cloud Engineer,26,3,11,1,7915
Bobby Garcia,Gordonfurt,Database Administrator,JavaScript,Google Cloud Engineer,34,5,51,7,2778
Brandon Mercado,Rachelmouth,Backend Developer,Swift,AWS Certified Developer,51,27,138,7,4892
Dennis Hall,Lake Jermainebury,Cybersecurity Specialist,Go,Certified Ethical Hacker,57,22,36,9,2417
Laurie Sullivan,Christopherland,Database Administrator,Python,Oracle Certified Professional,43,17,118,5,4050
Juan Thomas,Lake Amanda,Cloud Architect,Swift,Microsoft Azure Fundamentals,45,17,100,0,5326
Patricia Nelson,Coffeyview,QA Tester,Kotlin,Certified Ethical Hacker,58,19,64,0,4432
Gregory Fox,South Jason,Database Administrator,Kotlin,Microsoft Azure Fundamentals,49,4,148,9,6136
Mary Hardin,Kimberlyside,DevOps Engineer,Go,PMI-ACP,34,14,13,7,7663
Andrew Mcdowell,Stephensfurt,QA Tester,Go,Certified Ethical Hacker,47,27,61,8,3083
Seth Harmon,Marthaport,Database Administrator,JavaScript,Google Cloud Engineer,52,19,130,2,3550
Terri Mcdowell,Lake Marcusborough,Cybersecurity Specialist,Java,CompTIA Security+,46,8,55,1,2836
Melinda Fletcher,Sheltonton,Cloud Architect,C#,AWS Certified Developer,24,2,6,8,1855
Nicole Goodwin,Lewismouth,Data Scientist,Swift,CompTIA Security+,27,0,98,0,2916
Chase Mclean,Hendersonstad,QA Tester,JavaScript,PMI-ACP,33,3,51,0,4511
Mitchell Baker,Curryberg,AI/ML Engineer,TypeScript,Certified Scrum Master,47,14,84,5,4522
Justin Powers,Seanside,QA Tester,Python,AWS Certified Developer,43,16,85,10,7425
Rebecca Gordon,North Yolandamouth,Backend Developer,C#,Google Cloud Engineer,23,3,128,1,4317
Lisa Fields,East Kristinmouth,QA Tester,Go,CompTIA Security+,44,9,99,0,4024
Richard Webster,East Nicole,Backend Developer,PHP,PMI-ACP,38,3,106,0,7383
Donna Bailey,New Zacharymouth,Database Administrator,Python,Google Cloud Engineer,57,28,146,0,7697
Ashley Rivera,Port Lisa,Backend Developer,JavaScript,AWS Certified Solutions Architect,47,27,102,9,1606
Kimberly Martinez,Michaelberg,Database Administrator,TypeScript,Oracle Certified Professional,42,20,133,5,5840
Robert Jones,Brittanyville,DevOps Engineer,Kotlin,PMI-ACP,23,1,41,0,4385
Karen White,Devinton,AI/ML Engineer,TypeScript,Microsoft Azure Fundamentals,34,10,116,1,1064
Michael Quinn II,South Christopherview,Backend Developer,Swift,AWS Certified Solutions Architect,37,10,24,1,6069
Jessica Lewis,Robertton,Cloud Architect,PHP,AWS Certified Solutions Architect,50,3,114,4,6516
Linda Noble,Collinsfort,Database Administrator,PHP,Certified Scrum Master,29,5,31,2,4238
Joshua Ramos,South Amanda,QA Tester,PHP,Microsoft Azure Fundamentals,59,12,116,7,5619
Amanda Chavez,Williamton,QA Tester,Java,Google Cloud Engineer,26,6,99,9,4325
John Harris,Adammouth,Frontend Developer,TypeScript,Certified Ethical Hacker,31,10,93,9,2770
Zachary Ibarra,Sabrinabury,Data Scientist,Ruby,Certified Ethical Hacker,23,2,3,2,6904
Nicole Frank,Donnaview,AI/ML Engineer,Swift,Google Cloud Engineer,50,24,28,7,6367
Brandi Burnett,New Andrew,Cybersecurity Specialist,TypeScript,AWS Certified Solutions Architect,52,1,106,6,6503
Angela Hancock,North Nancy,Frontend Developer,Java,AWS Certified Solutions Architect,33,9,139,9,865
Devin Andrews,Mariemouth,Cybersecurity Specialist,TypeScript,AWS Certified Solutions Architect,32,1,5,1,6869
Rebecca Hayes,North Diane,QA Tester,PHP,Oracle Certified Professional,30,8,78,6,6210
Charles Woods,Davisview,Cybersecurity Specialist,JavaScript,Cisco CCNA,36,5,146,8,3936
Molly Blevins,Lake Misty,Mobile Developer,Python,Certified Scrum Master,22,0,44,3,5906
Terry Alvarez,Hendersonfurt,Cybersecurity Specialist,Go,AWS Certified Solutions Architect,49,16,88,4,6728
Elizabeth Brown,New Patriciaborough,Backend Developer,Go,Google Cloud Engineer,32,8,9,5,3751
Charles Freeman,Tonyaton,Data Scientist,PHP,AWS Certified Developer,57,29,22,5,2260
Matthew Cox,East Rachel,QA Tester,Kotlin,AWS Certified Developer,57,18,39,4,7195
Michael Johnson,Port Phillipmouth,AI/ML Engineer,PHP,PMI-ACP,34,1,42,0,6518
Anthony Becker,South Luke,Frontend Developer,Ruby,AWS Certified Developer,28,0,126,1,5468
Carl Maynard,North Jeffrey,Data Scientist,Kotlin,PMI-ACP,34,11,128,9,1387
Jonathan Lopez,Ryanhaven,Mobile Developer,Ruby,Certified Scrum Master,47,3,139,4,2238
Connie Conner,Richardsonmouth,Frontend Developer,TypeScript,PMI-ACP,39,6,11,1,1506
Brian Owens Jr.,Davisburgh,Mobile Developer,Ruby,Microsoft Azure Fundamentals,50,1,141,2,7986
Natalie Nichols,Acostamouth,Cybersecurity Specialist,Go,CompTIA Security+,56,33,44,7,2100
Kayla Jones,Port Kimberly,DevOps Engineer,Python,Oracle Certified Professional,50,28,3,4,4587
Jerry Hill,Daviestown,Cybersecurity Specialist,Python,AWS Certified Solutions Architect,22,0,144,8,6667
Cameron Morris,Brookeport,Backend Developer,JavaScript,Certified Ethical Hacker,23,2,87,2,3756
Shelia Todd,Vincentburgh,Database Administrator,PHP,Microsoft Azure Fundamentals,34,9,55,9,5055
Justin Torres,Watkinshaven,DevOps Engineer,JavaScript,PMI-ACP,31,8,0,8,6480
Colleen Jones,Jonathanchester,Backend Developer,Go,Certified Scrum Master,24,1,11,10,3922
James Hobbs,Rebeccabury,Backend Developer,Java,Cisco CCNA,30,7,21,10,6916
Kimberly Strickland,Lewishaven,Backend Developer,Ruby,Certified Scrum Master,42,19,112,3,7445
Shawn Mann,West Maryborough,Frontend Developer,Swift,Certified Scrum Master,44,6,33,5,3696
Stephen Sanchez,West Laurenfort,Frontend Developer,Ruby,Google Cloud Engineer,48,26,120,5,7910
Jennifer Sweeney,South Juliehaven,Cloud Architect,Go,Certified Ethical Hacker,27,1,41,1,4926
Kevin Marshall,Brownfort,Backend Developer,Python,Cisco CCNA,45,3,82,4,1140
Mary Johnson,Port Kevin,QA Tester,PHP,AWS Certified Developer,44,0,112,3,6823
Nathan Cole,Lake Patriciaburgh,DevOps Engineer,Go,Certified Scrum Master,33,13,78,5,3934
Christian Gray,Jenniferfort,DevOps Engineer,Swift,AWS Certified Developer,35,13,85,1,5105
Jaime Watts,Huntfort,Mobile Developer,Kotlin,Oracle Certified Professional,38,10,72,0,4731
Misty Flores,Port Kennethville,Cybersecurity Specialist,PHP,PMI-ACP,24,3,15,0,6715
Christopher Johnson,Kaiserbury,Backend Developer,TypeScript,Cisco CCNA,44,14,21,2,5396
Anna Sanchez,Port Nancyton,DevOps Engineer,Python,Oracle Certified Professional,25,3,76,7,2687
Zachary Adams,Michellefort,Mobile Developer,TypeScript,Google Cloud Engineer,52,0,139,8,7926
Shelly Fitzpatrick,Laurenbury,QA Tester,JavaScript,Microsoft Azure Fundamentals,59,7,4,5,3046
Jennifer Harrison,Starkmouth,Frontend Developer,TypeScript,Certified Ethical Hacker,54,9,126,5,3346
Michael Cline,East Shanetown,DevOps Engineer,JavaScript,Cisco CCNA,22,1,7,5,2155
Eric Moore,Gaineschester,Cloud Architect,Python,CompTIA Security+,40,2,98,9,4482
Rodney Rice,East Katherine,DevOps Engineer,Python,Oracle Certified Professional,45,1,91,8,5784
Deborah Jones,East Gregory,Frontend Developer,Ruby,AWS Certified Solutions Architect,23,1,31,1,5839
Erin Flores,North Matthew,Frontend Developer,Kotlin,PMI-ACP,31,4,82,2,1832
Victoria Jenkins,Ashleyside,Database Administrator,Swift,AWS Certified Solutions Architect,45,16,150,9,4658
James Duncan,New James,Backend Developer,Go,Oracle Certified Professional,28,7,82,2,3719
Hannah Ford,North Patricia,QA Tester,Kotlin,AWS Certified Developer,35,7,56,4,2135
Mark Scott,Christopherport,AI/ML Engineer,C#,Google Cloud Engineer,53,9,10,9,1304
Joshua Garcia,New Laurenmouth,Mobile Developer,Kotlin,Certified Ethical Hacker,59,6,32,9,5725
Charles Wright,New Michael,Cloud Architect,Ruby,Google Cloud Engineer,38,4,24,3,2431
Jason Weaver,Kimberlybury,Cybersecurity Specialist,Swift,AWS Certified Developer,31,9,102,6,5129
Carolyn Fleming,South Stacey,DevOps Engineer,PHP,CompTIA Security+,27,1,7,0,5608
Grace Taylor,Smithton,AI/ML Engineer,Kotlin,CompTIA Security+,52,7,6,5,3017
Martin Cole,Kevintown,Mobile Developer,Swift,AWS Certified Solutions Architect,57,34,126,6,1736
Peter Powers,West Daniellebury,Frontend Developer,Ruby,PMI-ACP,33,13,115,4,5553
Brandon Dawson,North Alantown,DevOps Engineer,Swift,Certified Ethical Hacker,42,19,55,10,3359
Danielle Thompson,Grimesstad,Frontend Developer,Go,PMI-ACP,54,11,144,8,6021
Erik Ramos,North Margarethaven,QA Tester,Ruby,AWS Certified Solutions Architect,25,3,118,7,1243
Timothy Shaw,Rodriguezshire,Cybersecurity Specialist,Swift,PMI-ACP,40,11,89,8,3227
Joel Parks,Valdezbury,Cloud Architect,JavaScript,Microsoft Azure Fundamentals,54,11,72,8,2576
Shelia Thompson,Smithfurt,Data Scientist,C#,AWS Certified Developer,56,8,102,6,2540
Justin Stout,New Stephanie,Cloud Architect,Go,AWS Certified Developer,34,13,108,7,4297
Shannon Garcia,Jillianview,Mobile Developer,Java,Google Cloud Engineer,35,13,3,9,2747
Jeffrey Figueroa,Contrerasville,DevOps Engineer,TypeScript,AWS Certified Developer,34,2,87,3,4150
Diana Cruz,Lake Danielmouth,Backend Developer,Python,Microsoft Azure Fundamentals,57,0,91,5,7352
Chris Davis,North Brian,Mobile Developer,C#,Cisco CCNA,22,0,120,2,3178
Laura Roy,Hawkinsmouth,DevOps Engineer,Go,Certified Ethical Hacker,51,9,59,9,5785
Allison Garcia,South Sheenafurt,Data Scientist,PHP,Cisco CCNA,35,10,55,0,7633
Jennifer Leblanc,West Jamesstad,Frontend Developer,Ruby,Google Cloud Engineer,56,6,119,6,2950
Lisa Thomas,Morrisonhaven,Frontend Developer,Python,CompTIA Security+,45,23,5,1,818
Kayla Walker,Rubioland,Cloud Architect,TypeScript,AWS Certified Solutions Architect,24,2,53,10,2749
Timothy Rodriguez,West Suzanne,Mobile Developer,C#,AWS Certified Developer,24,2,8,7,4299
William Jackson,Port Kayla,Cloud Architect,Ruby,Oracle Certified Professional,59,37,11,8,3671
Teresa Lee,East Christinebury,Database Administrator,Go,Microsoft Azure Fundamentals,45,3,148,9,5880
Jessica Pena,West Chris,Mobile Developer,Swift,Cisco CCNA,40,10,17,0,3236
Michael Johnson,South Jennifermouth,Cybersecurity Specialist,C#,Oracle Certified Professional,43,20,138,4,869
Sarah Guerra,East Tracyland,Backend Developer,Ruby,Certified Ethical Hacker,46,19,11,6,3711
Dylan Page,Ortizberg,Data Scientist,Kotlin,Certified Ethical Hacker,41,17,14,0,6638
Michael Rodriguez,Fischerbury,Backend Developer,Swift,Microsoft Azure Fundamentals,24,0,22,4,5504
Catherine Baker,Belltown,Database Administrator,Swift,Cisco CCNA,26,4,6,2,4698
